1000 1
8572300956 -1934608582 -1316453384
-6216467835 -5722199314 2738297208
418344962 1003983395 2799308046
5821581522 5403444805 4324269730
7779702596 -6210497133 -8713188257
8241908113 4305864730 -3867594415
-6652198768 -5015802830 -6539252985
1619305363 -2788909116 1054191742
5047066565 1788892820 -647358810
-1333993393 1793638054 -7597836167
-8958793639 -4256534223 7270457824
5242620554 5534029919 -7962439507
4173349023 -3167193734 -6776797354
6612980097 -7311205156 3290055189
5239316692 4892957864 3854161120
-3571612702 -4060986674 -4102789358
-8420763979 1893071854 5919260640
-267927666 -3193526313 -8355026419
2448979339 3747116832 -3972030337
1856060480 7016792036 -6855279728
-2725615144 3252515739 925530698
-4068080082 -4741168699 9124751700
9925685961 4522465025 -7017276891
7536830266 6031192635 -6387301282
6119707670 8063380167 -5870930160
-1396855968 -9925059725 -9007526451
-6728948826 -2715544939 -4070911734
-3456586121 -6088026693 -6960439401
1325491127 -7407059577 727615190
691824544 6629654483 6623200201
-8623238160 9303555826 -3454724182
1438350700 -689823890 -5559356697
-6844718753 -132372738 -8415659800
4218784004 8528092535 -3760741138
-2084508081 9133735640 7410089359
6554600063 7090523833 -7397392792
1478378746 -2784977575 -9179707018
-1173807038 -5965924092 3393835592
1982505268 5595549993 3477212158
489177614 -634672907 6157702911
813282093 4012081665 -9433760604
2397851766 2948503115 5414879323
-1729891916 4595837904 -7047671574
5541645555 5926267351 -899351988
3590931585 -7484495780 6232954146
-800231510 -3756290699 6392963066
-6110327639 6443030461 8702639555
9447081515 -2724425932 1962953743
-8808160700 5679554824 -1710580015
-7363747577 4530396615 -2368562019
-121161429 6273756950 4329741248
1994504863 3336837338 -5104236028
-1505191373 1738111705 3563851235
3624911587 -6938795756 -3547644910
4800895135 3859567102 6563331521
4408529429 -7209826434 1071936199
573445424 1420903231 9411239277
7685805703 9650831688 -1496689155
-5092562882 -4464824576 -4632526133
1188588987 -8510689759 436986401
8540354861 4678957773 -3100035479
2479962339 9567125094 6029420489
-9080847023 -1630309461 -5507019437
4195471894 -1108123092 3570530809
839566422 -9231605208 4439212627
-8131305014 4007036799 -7663648800
9558158483 -3320653070 2354292050
9400906153 -845274935 -2654863404
-5947704174 -6808966661 -602697239
-5744543746 -7718218850 -4887936348
5208364541 8438129980 5191374856
4633844220 1536042178 -2844449574
1217326621 -1498791205 -5094765255
-6410169554 7430706665 1195926692
7084400522 4956073985 5353732786
7312065494 -3211863336 -6622229336
-5741384500 4179014170 1056157052
-2698875458 -5781881556 1209510271
-5763623013 8618047825 7843997685
-4145373705 8938974731 3433511370
-4306383505 8798248981 -2884353330
2662173743 7850719747 -2314658422
4096236288 -7571715517 4159767895
-5752839418 2674576348 -7266081115
3720171929 -8075499 4540572921
7128269251 4822332350 -2765142683
-8047087437 -2816336583 7281664318
6803567994 730354625 7868120118
-1078275724 6389999435 3543542034
8579543708 -1690423594 952543368
-5454726700 -4293197070 -8882071711
9344026333 87541813 3873794429
-1644023633 -3664402242 2399634085
-1010729035 7115380514 -6972055713
840532154 6666023093 4978436877
9369831236 -6512261885 -1617220010
7531532656 -8162213230 -3435466217
8619836069 -6500873817 4888512815
7439566146 -5848571649 5861537530
-4505795163 3718699138 4667438130
8163521309 -2102914629 7496517058
-6556619451 7898038364 -2703467091
3069602262 6675336590 2717541434
4041757747 4222431129 5750560683
-9639284855 971295107 6638932453
9795225692 9357664943 1976525453
-9306340532 -411755469 -7290685769
-1991005491 -8241647227 -7397109117
3204685533 -2718250875 -1938970604
-8377066670 -1204125894 9962178450
226945662 -7537264808 -9661412808
6365513074 -4751012896 8910423625
6995860855 6214209961 -2826606630
-6196192198 3784393847 173883475
9969850073 2048642295 -688597955
-6439899609 -803094962 8531177503
-959500630 -7299477895 -8864721917
8696554244 -3077030774 5980014312
-6565293864 -5118129316 3948173995
7169371997 -2748489267 -4076270690
-8089468300 952580034 2192264951
-2536522211 -7193189592 -544530037
-3506020401 9007600238 -5275990505
4754840225 -1095525262 3820530839
9433236634 4076146075 8386561618
-2616953356 -7312388119 -4853210370
-7800105619 -2935077963 -6471832053
-4005409529 9991857915 4914315290
-4150390437 6588799908 -8709818818
-9272741833 2892690168 7838253162
-6425207065 -3813038186 3413209788
3337367549 -5119379711 -9492623652
-6860991435 4330882233 -9756150651
-8665309069 -8686887811 804682338
2526871737 6153642498 -8216679743
-3736130525 7761775878 5949339792
-6132889176 -198802788 109808810
8308058863 -1192543763 5385265070
3174386085 -3539392092 4510379091
2789103160 3613546077 -7329167755
-7369100081 3066190128 2675186809
-1822886716 1339877668 8679569755
-3112092864 -6555930558 -2779456031
427327039 5327270383 -9661723087
-6316347368 3262612355 -3092637153
9305790098 4021953165 -2669958039
-6578865469 8974903763 -7456173248
-8011662546 -22641961 -6766663352
1029982561 1570763330 -2393687834
2739872951 -3915768111 4084676944
4047272148 5803834137 -2471428359
-9420847773 -7458777329 6549810323
2878914207 -4942807600 -5374822266
3490443663 4979957319 -5048327498
-9510797727 137336487 9354578419
9070136150 9885388973 9296578298
-924245146 8710644573 -5864805379
-5527462205 1217804522 8624444366
3068099302 -5448752753 -9171015416
5045928411 -5509129688 4546863444
-1070477159 3566446184 7088490580
-7040192447 -1601743258 -43964669
-680688187 -9783412054 1374341550
897776026 -9202594260 3718775456
6294213586 3164866782 2514204597
-2544416375 -8517210533 -3044524947
-2895436142 -3906747564 -6915329430
7881571993 5709985724 -5644075121
7062892723 -2743236677 87911468
8331304081 -3144689716 -6990941616
-6963668826 5509723545 -1603638329
-1829406651 -7052365036 6882744577
6460422106 -4095069251 3854920183
-4528957477 6426159425 -7841104255
7744892274 1718785000 5180838374
4150323442 8716996665 171159732
-1527789768 93772653 3988209135
-478108733 -7257986101 -8109244247
5702560538 -8783918261 337312149
-8827597972 7037766377 -8613964773
-4901665468 -9961659284 -372624361
8327727893 -2648489251 -2066523591
6514031008 -786255648 -6295425788
5023511792 8387565369 -1198017299
-3629908399 8316159968 1699676872
-6660984655 -4164992485 6240955108
-9263236785 -9700804203 -8333201590
-2968141006 -1951431439 -4820248785
-6991273788 7934263734 9682055706
-5431011907 -1741091604 -2157660391
5674693977 -6601720318 1138483410
-7404321747 -2679297496 -288581941
-9021316234 5175190833 5109701339
1956084318 -4156433496 385784624
-271742441 -4824279217 -5392897099
-8793036029 -1647842018 2941968483
3138017447 2213597122 -3029166546
7964930003 -7153451651 -9744440133
2143835441 -2458834298 8991909869
-6337901898 -9333043867 9320617719
-6141903621 7296522802 -3711375727
7808833296 6706305834 -2164286187
8878465020 -590755222 -2202583194
5131471390 531132284 9268860858
1662893567 -7500998525 -6583480253
3148602144 9121874211 3933919021
